id,difficulty,question,answer,reference
1,Easy,Who was the first man created by God?,Adam,Genesis 2:7
2,Easy,What did God create on the first day?,Light,Genesis 1:3
3,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
4,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
5,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
6,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
7,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
8,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
9,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
10,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
11,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
12,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
13,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
14,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
15,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
16,Easy,Who was the first man created by God?,Adam,Genesis 2:7
17,Easy,What did God create on the first day?,Light,Genesis 1:3
18,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
19,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
20,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
21,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
22,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
23,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
24,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
25,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
26,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
27,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
28,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
29,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
30,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
31,Easy,Who was the first man created by God?,Adam,Genesis 2:7
32,Easy,What did God create on the first day?,Light,Genesis 1:3
33,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
34,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
35,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
36,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
37,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
38,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
39,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
40,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
41,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
42,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
43,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
44,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
45,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
46,Easy,Who was the first man created by God?,Adam,Genesis 2:7
47,Easy,What did God create on the first day?,Light,Genesis 1:3
48,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
49,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
50,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
51,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
52,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
